Fuel_Source,Building_Type,Energy_Usage
Natural_Gas,Residential,576.9977359930793
Biofuel,Commercial,626.8389522403902
Natural_Gas,Commercial,542.4486244056451
Natural_Gas,Residential,594.0535584962009
Natural_Gas,Commercial,413.23589100206254
Biofuel,Residential,514.586185242831
Biofuel,Commercial,363.01289432837035
Natural_Gas,Commercial,422.82192505067417
Biofuel,Commercial,587.8673548190895
Biofuel,Residential,476.04054918061905
Biofuel,Residential,620.9381970686634
Biofuel,Commercial,553.7960003691995
Natural_Gas,Residential,773.4422159061742
Natural_Gas,Residential,509.37654301519467
Biofuel,Residential,359.3594732818451
Biofuel,Residential,496.5470343905192
Natural_Gas,Residential,403.69843739338734
Natural_Gas,Residential,597.7180000813073
Biofuel,Commercial,504.1980064470023
Natural_Gas,Commercial,486.27281829021837
Biofuel,Residential,487.58676111183405
Biofuel,Commercial,574.0340817947739
Natural_Gas,Commercial,454.7537767655331
Natural_Gas,Commercial,577.7049794903608
Biofuel,Commercial,604.5571168346316
Biofuel,Residential,465.78582873946186
Natural_Gas,Commercial,407.3953380788522
Biofuel,Commercial,448.7034682364378
Natural_Gas,Residential,571.0109240363954
Biofuel,Residential,509.2478871551097
Natural_Gas,Commercial,563.0074938601008
Natural_Gas,Commercial,676.2937472303229
Natural_Gas,Commercial,523.0953722945133
Biofuel,Commercial,419.1063108609639
Biofuel,Commercial,605.7423508862377
Natural_Gas,Commercial,505.1360859479635
Biofuel,Residential,587.2447157660454
Natural_Gas,Commercial,606.6198544097738
Natural_Gas,Commercial,404.09919035732213
Biofuel,Residential,638.2004604171943
Biofuel,Residential,590.5121959956559
Natural_Gas,Residential,439.6095627515471
Biofuel,Residential,530.4449119870852
Biofuel,Commercial,525.7207490980106
Natural_Gas,Commercial,502.3931814465837
Natural_Gas,Commercial,587.1913988812393
Biofuel,Commercial,643.7356328333527
Natural_Gas,Commercial,500.7306372740632
Natural_Gas,Commercial,633.0881327972086
Biofuel,Residential,598.8202610504112
Natural_Gas,Commercial,523.2296158176405
Natural_Gas,Residential,517.6180922052322
Biofuel,Residential,384.7434628339985
Biofuel,Commercial,349.9231606792826
Natural_Gas,Residential,516.5022798109338
Natural_Gas,Commercial,414.4071082170632
Biofuel,Residential,496.0363857960381
Biofuel,Commercial,446.5337258149936
Biofuel,Residential,321.15034950195036
Biofuel,Commercial,535.7304541936634
