Geographical_Region,Fuel_Source,CO2_Emissions
North,Natural_Gas,11.490142459033699
North,Natural_Gas,9.585207096486446
North,Natural_Gas,11.943065614302078
North,Natural_Gas,14.569089569224076
North,Natural_Gas,9.297539875829992
North,Biofuel,19.29758912915246
North,Biofuel,24.737638446522176
North,Biofuel,22.302304187458727
North,Biofuel,18.591576842195146
North,Biofuel,21.627680130757895
North,Biofuel,18.609746921562614
North,Biofuel,18.60281073928923
North,Biofuel,20.725886814698104
North,Biofuel,14.260159266026607
North,Biofuel,14.825246502460901
North,Coal,28.313137412277083
North,Coal,26.961506638996728
North,Coal,30.94274199778582
North,Coal,27.27592777343637
North,Coal,25.763088895994127
South,Natural_Gas,47.32824384460777
South,Natural_Gas,38.87111849756732
South,Natural_Gas,40.337641023439616
South,Natural_Gas,32.87625906893272
South,Natural_Gas,37.27808637737409
South,Biofuel,50.554612948549334
South,Biofuel,44.24503211288849
South,Biofuel,51.87849009172836
South,Biofuel,46.99680655040598
South,Biofuel,48.54153125103362
South,Biofuel,46.991466938853016
South,Biofuel,59.26139092254469
South,Biofuel,49.93251387631033
South,Biofuel,44.7114453552205
South,Biofuel,54.11272456051594
South,Coal,53.89578175014489
South,Coal,61.04431797502378
South,Coal,50.201649380601125
South,Coal,53.359069755507846
South,Coal,60.984306179345616
East,Natural_Gas,17.953866319981643
East,Natural_Gas,15.685473124759882
East,Natural_Gas,14.537406870447038
East,Natural_Gas,13.795585217642845
East,Natural_Gas,9.08591203853029
East,Biofuel,22.120623166421165
East,Biofuel,23.15744491616085
East,Biofuel,29.22848890487566
East,Biofuel,26.374473158273844
East,Biofuel,17.947839378549062
East,Biofuel,26.296335877579182
East,Biofuel,23.459670878334734
East,Biofuel,22.292311998776164
East,Biofuel,27.44670515536347
East,Biofuel,29.123998089983804
East,Coal,38.725120476464795
East,Coal,31.643129907109447
East,Coal,33.763150496595145
East,Coal,36.325053725614254
East,Coal,38.90218050848944
West,Natural_Gas,17.12495457292826
West,Natural_Gas,18.886046140017097
West,Natural_Gas,13.36199015596383
West,Natural_Gas,12.822760255515975
West,Natural_Gas,24.875154934365188
West,Biofuel,38.13744017142494
West,Biofuel,29.567939270517996
West,Biofuel,36.021197387352146
West,Biofuel,32.169816150285804
West,Biofuel,26.129281472369254
West,Biofuel,32.168373633050486
West,Biofuel,39.228219398795815
West,Biofuel,29.78504376534029
West,Biofuel,39.387861934884036
West,Biofuel,14.281529375461535
West,Coal,44.931415026251344
West,Coal,40.522282409429025
West,Coal,38.205955897204795
West,Coal,40.550564659213016
West,Coal,28.074586512394642
